employee_id,team_id,department,role_function,manager_id,location_site,period_date,hours_planned,hours_worked,overtime_hours,absence_days,output_units,unit_value,quality_score,error_count,attrition_flag,date_joined,date_left,engagement_score,total_labor_cost,headcount
EMP0108,Team J,Operations,Ops Analyst,EMP0061,,2026-04-01,160.0,169.4,9.4,3.7,56,40,57.4,3,False,2022-03-17,,3.32,5872.0,1
EMP0287,Team D,Sales,SDR,EMP0033,Branch-West,2025-12-01,160.0,162.3,2.3,5.1,32,150,38.4,3,False,2025-01-08,,3.75,4641.0,1
EMP0333,Team A,Engineering,QA Engineer,EMP0480,,2026-05-01,160.0,160.0,0.0,,28,0,73.2,0,False,2022-09-22,,3.94,6720.0,1
EMP0018,Team H,Sales,Sales Manager,EMP0280,,2026-03-01,160.0,147.8,1.5,0.0,9,2500,90.6,1,False,2022-01-08,,2.97,7802.6,1
EMP0241,Team I,Marketing,Content Creator,EMP0251,HQ,2026-07-01,160.0,148.4,35.1,0.6,20,150,62.1,2,False,2021-12-06,,3.81,6031.5,1
EMP0373,Team B,ENGINEERING,QA Engineer,EMP0006,HQ,2025-11-01,160.0,159.5,18.5,0.3,21,0,96.7,1,False,2021-12-23,,3.78,7864.5,1
EMP0254,Team C,Sales,SDR,EMP0392,Remote,2026-08-01,160.0,155.4,33.3,0.4,37,150,96.2,3,False,2024-03-23,,3.17,5749.8,1
EMP0329,Team B,Sales,SDR,EMP0006,Remote,2026-06-01,160.0,159.6,7.2,1.4,43,150,60.4,4,False,2026-01-16,,3.4,4771.2,1
EMP0462,Team D,Support,Support Agent,EMP0296,HQ,2026-03-01,160.0,150.8,11.2,1.1,144,50,80.2,4,False,2025-11-23,,2.7,4022.4,1
EMP0007,Team E,Engineering,Data Engineer,EMP0355,Branch-West,2025-11-01,160.0,161.8,1.8,1.0,23,0,77.3,1,False,2022-05-29,,3.52,9870.0,1
EMP0349,Team G,Sales,Account Executive,EMP0047,Branch-West,2025-09-01,160.0,138.7,5.9,2.1,13,2000,78.1,0,False,2021-12-13,,,5902.0,1
EMP0134,Team F,Sales,Sales Manager,EMP0193,Remote,2026-05-01,160.0,166.9,6.9,5.2,10,2500,78.7,1,False,2023-03-16,,3.31,9217.0,1
EMP0218,Team D,Operations,Ops Coordinator,EMP0147,HQ,2026-04-01,160.0,157.6,1.5,1.2,96,35,86.5,0,False,2022-05-08,,2.37,4315.95,1
EMP0067,Team F,Engineering,Developer,EMP0355,Remote,2025-09-01,160.0,161.1,1.1,0.2,17,0,76.0,0,False,2022-11-18,,4.24,8951.25,1
EMP0107,Team F,Sales,Sales Manager,EMP0420,Remote,2025-09-01,160.0,149.0,4.2,1.0,11,2500,70.4,3,False,2024-02-15,,4.99,8075.6,1
EMP0186,Team H,Support,Support Agent,EMP0177,HQ,2025-10-01,160.0,159.2,15.8,2.7,102,50,64.1,0,False,2024-05-22,,3.51,4389.6,1
EMP0178,Team D,Sales,Account Executive,EMP0480,Remote,2026-01-01,160.0,160.7,0.7,0.3,12,2000,83.5,1,False,2024-12-18,,3.94,6470.0,1
EMP0433,Team E,Support,Support Agent,EMP0100,Branch-West,2026-05-01,160.0,161.9,1.9,1.0,116,50,56.2,0,False,2022-08-29,,3.3,3954.0,1
EMP0212,Team H,Support,Support Lead,EMP0006,Remote,2025-12-01,160.0,164.0,4.0,2.3,75,60,79.2,3,False,2024-11-10,,4.39,5780.0,1
EMP0262,Team G,Marketing,Content Creator,EMP0309,,2026-07-01,160.0,161.3,1.3,1.2,21,150,91.8,3,False,2025-10-18,,4.28,4897.5,1
EMP0492,Team B,Support,Support Lead,EMP0162,Remote,2026-04-01,160.0,152.8,6.8,3.1,66,60,56.1,0,False,2022-05-06,,3.57,5542.0,1
EMP0317,Team C,Sales,Sales Manager,EMP0309,Remote,2026-04-01,160.0,162.0,4.2,0.5,5,2500,39.2,5,False,2024-01-19,,3.52,8751.6,1
EMP0022,Team E,Engineering,QA Engineer,EMP0245,Remote,2026-07-01,160.0,156.8,2.5,0.2,30,0,64.2,1,False,2023-06-03,,3.13,6743.1,1
EMP0262,Team G,Marketing,Content Creator,EMP0309,Remote,2025-10-01,160.0,156.9,1.1,2.3,15,150,,0,False,2025-10-18,,4.29,4756.5,1
EMP0154,Team C,Sales,SDR,EMP0344,HQ,2025-10-01,160.0,160.6,0.6,6.4,37,150,69.5,0,False,2025-09-02,,3.81,4522.0,1
EMP0004,Team J,Sales,Account Executive,EMP0296,HQ,2025-09-01,160.0,151.6,0.8,0.3,18,2000,52.2,1,False,2023-10-08,,2.37,6112.0,1
EMP0241,Team I,Marketing,Content Creator,EMP0251,HQ,2026-08-01,160.0,161.4,2.3,0.1,25,150,94.1,2,False,2021-12-06,,3.36,4945.5,1
EMP0312,Team B,Engineering,DevOps Engineer,EMP0320,Branch-West,2026-06-01,160.0,160.2,0.2,0.5,13,0,61.1,4,False,2023-02-28,,2.83,9309.0,1
EMP0381,Team B,Engineering,Developer,EMP0259,Remote,2026-04-01,160.0,156.9,3.0,7.7,14,0,86.3,0,False,2025-04-07,,3.78,8877.0,1
EMP0213,Team E,Support,Support Agent,EMP0077,HQ,2026-03-01,160.0,165.2,5.2,0.1,99,50,81.1,0,False,2025-08-12,,4.18,4152.0,1
EMP0003,Team A,Operations,Ops Analyst,EMP0225,Remote,2025-10-01,160.0,166.3,22.0,1.2,56,40,83.8,5,False,2023-03-15,,3.28,6377.6,1
EMP0364,Team H,Sales,Account Executive,EMP0243,HQ,2026-05-01,160.0,156.9,1.4,2.8,16,2000,68.4,1,False,2023-08-09,,4.28,6360.0,1
